stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped, corrAns ,tilt , key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
69,0.5,10.5,80.70995717600454,,80.68911527498858,80.70995717600454,81.20437589200446,81.20437589200446,81.22081598901423,81.50491579202935,82.05565446201945,right,10.5,1,1,0.8387184350285679,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
70,0.5,10.5,82.07077025598846,,82.0557466489845,82.07077025598846,82.57053145597456,82.57053145597456,82.57053145597456,82.87088115199003,83.39253855199786,right,10.5,1,1,0.81647196598351,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
71,0.5,10.0,83.40416894701775,,83.39275695802644,83.40416894701775,83.90393482497893,83.90393482497893,83.90393482497893,84.20506805501645,84.43909446999896,left,-10.0,1,1,0.519032938987948,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
72,0.5,10.0,84.45414282201091,,84.43920569197508,84.45414282201091,84.95412332197884,84.95412332197884,84.95412332197884,85.25439985998673,86.09042996203061,left,-10.0,1,1,1.1253352759522386,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
73,0.5,10.0,86.10392791999038,,86.09055463899858,86.10392791999038,86.6042488720268,86.6042488720268,86.6042488720268,86.90453277801862,88.8892175820074,right,10.0,1,1,2.27268253499642,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
74,0.5,9.5,88.90472983999643,,88.88932373700663,88.90472983999643,89.40477246802766,89.40477246802766,89.40477246802766,89.7052026099991,92.1904580470291,left,-9.5,0,0,2.7819266979931854,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
75,0.5,10.0,92.20449727901723,,92.19061407702975,92.20449727901723,92.70929349202197,92.70929349202197,92.70929349202197,93.02264164801454,93.92332122899825,left,-10.0,0,0,1.2102146420511417,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
76,0.5,10.5,93.9382985670236,,93.92348072997993,93.9382985670236,94.43834599899128,94.43834599899128,94.43834599899128,94.73871852800949,95.23983723000856,right,10.5,1,1,0.7900715880095959,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
77,0.5,10.5,95.25497990101576,,95.2399368470069,95.25497990101576,95.7374046560144,95.7374046560144,95.75499490101356,96.03811424097512,96.47650879900903,right,10.5,1,1,0.7342533469782211,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
78,0.5,10.5,96.48784562101355,,96.47674099402502,96.48784562101355,96.98828637402039,96.98828637402039,96.98828637402039,97.28832410398172,98.40678929100977,left,-10.5,1,1,1.4110323970089667,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
79,0.5,10.0,98.42142350802897,,98.40691027097637,98.42142350802897,98.90655100799631,98.90655100799631,98.92343803599942,99.22209535900038,99.64051633700728,left,-10.0,1,1,0.7308472890290432,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
80,0.5,10.0,99.65510178200202,,99.64064194198,99.65510178200202,100.15505613602,100.15505613602,100.15505613602,100.45601034699939,100.67260153999086,left,-10.0,1,1,0.502360061975196,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
81,0.5,10.0,100.69299696799135,,100.67271316697588,100.69299696799135,101.17196187499212,101.17196187499212,101.20556649699574,101.47308429703116,102.12403226300376,right,10.0,1,1,0.9426500090048648,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
82,0.5,9.5,102.13878065702738,,102.12413746502716,102.13878065702738,102.63850148400525,102.63850148400525,102.63850148400525,102.93910227401648,103.3738337699906,right,9.5,1,1,0.7290646989713423,818762,001,2024-09-12_18h49.23.763,adaptive_staircase,2024.1.5,None,2024-09-12 18h49.31.324403 +0530,
